country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Austria,66.1,66.7,66.7,65.9,65.2,68.6,67.3,65,68.7,79.9,82.7,82.4,81.9,81.3,84,84.7,83,78.2,73.8
Belgium,108.8,107.6,104.7,101.1,96.5,94.7,91,87,92.5,99.5,99.7,102.6,104.3,105.5,107.5,106.4,106.1,103.4,102
Bulgaria,71.2,65,51.4,43.7,36,26.8,21,16.3,13,13.7,15.3,15.2,16.7,17.1,27.1,26.2,29.6,25.6,22.6
Croatia,35.5,36.5,36.6,38.1,40.3,41.2,38.7,37.3,39,48.3,57.3,63.9,69.5,80.4,84,83.7,80.5,77.8,74.6
Cyprus,55.7,57.3,60.5,63.8,64.8,63.4,59.3,54,45.6,54.3,56.8,66.2,80.1,103.1,108,108,105.5,95.8,102.5
Czechia,17,22.8,25.9,28.3,28.5,27.9,27.7,27.5,28.3,33.6,37.4,39.8,44.5,44.9,42.2,40,36.8,34.7,32.7
Denmark,52.4,48.5,49.1,46.2,44.2,37.4,31.5,27.3,33.3,40.2,42.6,46.1,44.9,44,44.3,39.8,37.2,35.5,34.1
Estonia,5.1,4.8,5.7,5.6,5.1,4.5,4.4,3.7,4.5,7,6.6,6.1,9.7,10.2,10.5,9.9,9.2,9.2,8.4
Finland,42.5,41,40.2,42.8,42.7,40,38.2,34,32.7,41.7,47.1,48.5,53.9,56.5,60.2,63.4,63,61.3,58.9
France,58.9,58.3,60.3,64.4,65.9,67.4,64.6,64.5,68.8,83,85.3,87.8,90.6,93.4,94.9,95.6,98,98.4,98.4
Germany,58.9,57.7,59.4,63.1,64.8,67,66.5,63.7,65.2,72.6,81.8,79.4,80.7,78.2,75.3,71.6,68.5,64.5,60.9
Greece,104.9,107.1,104.9,101.5,102.9,107.4,103.6,103.1,109.4,126.7,146.2,172.1,159.6,177.4,178.9,175.9,178.5,176.2,181.1
Hungary,55.3,51.9,55.3,57.9,58.7,60.5,64.5,65.5,71.6,77.8,80.2,80.5,78.4,77.2,76.7,76.7,76,73.4,70.8
Ireland,36.1,33.2,30.6,29.9,28.2,26.1,23.6,23.9,42.4,61.5,86,110.9,119.9,119.7,104.1,76.8,73.5,68.5,64.8
Italy,105.1,104.7,101.9,100.5,100.1,101.9,102.6,99.8,102.4,112.5,115.4,116.5,123.4,129,131.8,131.6,131.4,131.4,132.2
Latvia,12.1,13.8,13,13.7,14,11.4,9.6,8,18.2,36.3,47.3,43.1,41.6,39.4,40.9,36.8,40.3,40,35.9
Lithuania,23.5,22.9,22.1,20.4,18.7,17.6,17.2,15.9,14.6,28,36.2,37.2,39.8,38.8,40.5,42.6,40,39.4,34.2
Luxembourg,7.2,7.3,7,6.9,7.3,7.4,7.8,7.7,14.9,15.7,19.8,18.7,22,23.7,22.7,22.2,20.7,23,21.4
Malta,60.9,65.2,63.2,69,71.9,70,64.5,62.3,62.6,67.6,67.5,70.2,67.7,68.4,63.4,57.9,55.5,50.2,46
Netherlands,52.1,49.5,48.8,50,50.3,49.8,45.2,43,54.7,56.8,59.3,61.7,66.2,67.7,67.9,64.6,61.9,57,52.4
Poland,36.5,37.3,41.8,46.6,45,46.4,46.9,44.2,46.3,49.4,53.1,54.1,53.7,55.7,50.4,51.3,54.2,50.6,48.9
Portugal,50.3,53.4,56.2,58.7,62,67.4,69.2,68.4,71.7,83.6,96.2,111.4,126.2,129,130.6,128.8,129.2,124.8,121.5
Romania,22.5,25.9,24.8,22.1,18.9,15.9,12.4,12,12.4,21.9,29.8,34.2,37,37.6,39.2,37.8,37.3,35.2,35
Slovakia,49.6,48.3,42.9,41.6,40.6,34.1,31,30.1,28.5,36.3,41.2,43.7,52.2,54.7,53.5,52.2,51.8,50.9,48.9
Slovenia,25.9,26.1,27.3,26.7,26.8,26.3,26,22.8,21.8,34.6,38.4,46.6,53.8,70.4,80.4,82.6,78.7,74.1,70.1
Spain,58,54.2,51.3,47.6,45.3,42.3,38.9,35.6,39.5,52.8,60.1,69.5,85.7,95.5,100.4,99.3,99,98.1,97.1
Sweden,50.7,52.2,50.2,49.7,48.9,49.1,43.9,39.2,37.7,41.3,38.6,37.8,38.1,40.7,45.5,44.2,42.4,40.8,38.8
United Kingdom,37,34.3,34.4,35.6,38.6,39.8,40.7,41.7,49.7,63.7,75.2,80.8,84.1,85.2,87,87.9,87.9,87.1,86.8