country,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05
Belgium,0.79,0.68,0.71,0.77,0.85,0.81,0.75,0.77,0.69,0.54,0.47,0.41
Bulgaria,0.99,0.92,0.81,0.78,0.74,0.75,0.72,0.72,0.68,0.67,0.5,0.48
Czechia,2.14,2.11,2.14,2.14,2.14,2.07,2.01,1.85,1.76,1.82,1.82,1.86
Denmark,0.41,0.32,0.33,0.37,0.42,0.34,0.23,0.15,0.05,0.16,0.08,0.04
Germany,0.33,0.28,0.29,0.37,0.4,0.31,0.19,0.13,0.06,0.01,-0.04,-0.13
Estonia,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Ireland,0.92,0.83,0.86,0.93,1.01,0.98,0.91,0.94,0.86,0.67,0.56,0.5
Greece,4.39,3.88,4.18,4.17,4.37,4.42,4.28,4.21,3.84,3.76,3.42,3.37
Spain,1.37,1.33,1.4,1.46,1.6,1.59,1.42,1.38,1.3,1.12,1.04,0.87
France,0.75,0.67,0.7,0.77,0.82,0.76,0.7,0.65,0.55,0.44,0.37,0.3
Croatia,2.2,2.26,2.18,2.14,2.09,2.07,2.04,2.23,2.31,2.07,1.82,1.69
Italy,2.74,2.64,3.16,2.96,3.47,3.39,2.98,2.77,2.81,2.69,2.62,2.64
Cyprus,2.61,2.08,2.22,2.01,2.35,2.41,2.34,2.22,2,1.74,1.49,1.34
Latvia,0.93,1.06,0.95,0.94,1.01,1.05,1.05,0.95,0.81,0.7,0.58,0.51
Lithuania,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31
Luxembourg,0.54,0.47,0.47,0.51,0.56,0.5,0.42,0.37,0.26,0.17,0.11,0.02
Hungary,3.37,3.39,3.41,3.57,3.74,3.47,3.15,2.85,2.68,3.03,3.14,3.19
Malta,1.37,1.34,1.46,1.52,1.56,1.54,1.39,1.25,1.17,1.03,1,0.95
Netherlands,0.57,0.47,0.47,0.55,0.58,0.52,0.4,0.33,0.24,0.15,0.2,0.11
Austria,0.71,0.6,0.6,0.67,0.69,0.62,0.52,0.45,0.45,0.38,0.31,0.24
Poland,3.21,3.17,3.14,3.24,3.22,3.19,2.94,2.78,2.69,2.75,2.76,2.72
Portugal,1.87,1.76,1.82,1.88,1.96,1.91,1.71,1.67,1.55,1.32,1.18,1.02
Romania,4.95,5.05,4.8,4.75,4.9,4.78,4.6,4.69,4.79,4.8,4.91,4.93
Slovenia,0.99,0.79,0.77,0.75,0.92,1.01,0.96,0.98,0.87,0.67,0.52,0.38
Slovakia,1.01,0.94,0.92,0.98,1.07,1.01,0.94,0.88,0.78,0.68,0.57,0.45
Finland,0.63,0.53,0.56,0.66,0.73,0.66,0.55,0.49,0.38,0.35,0.34,0.25
Sweden,0.55,0.51,0.52,0.6,0.67,0.6,0.47,0.43,0.36,0.29,0.23,0.07
United Kingdom,1.32,1.27,1.31,1.52,1.56,1.44,1.27,1.28,1.2,1.14,1.15,1.06