country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belgium,15.1,14.8,14.6,14.6,14.7,14.2,13.9,13.5,13.4,12.1,12.6,11.5,11.1,11,10.5,10.8,10.6,10.5
Bulgaria,7.3,7.9,7.7,8.3,8.3,8.4,8.6,9.1,9,7.8,8.3,9,8.4,7.7,8.2,8.7,8.4,8.8
Czechia,14.7,14.8,14.4,14.8,14.9,14.6,14.7,14.8,14.2,13.3,13.5,13.3,12.9,12.4,12.2,12.3,12.4,12.3
Denmark,13.7,13.9,13.8,14.7,13.5,12.7,14.1,13.2,12.4,11.8,11.8,10.8,10,10.2,9.5,8.9,9.3,8.8
Germany (until 1990 former territory of the FRG),13,13.1,12.8,12.8,12.6,12.3,12.4,12.1,12.2,11.4,11.8,11.8,11.8,12,11.5,11.4,11.4,11.3
Estonia,12.5,12.8,12.5,14,14.3,14.3,13.8,16.7,15.1,12.6,16,16.1,15.4,16.8,16.2,13.9,15.1,16
Ireland,18.5,18.8,18,17.8,17.2,17.3,16.8,16.2,15.6,14.1,13.9,12.9,12.9,12.9,12.7,13.1,13.4,13.3
Greece,11.9,11.9,11.9,12.3,12.3,12.6,12.3,12.5,12.2,11.5,10.9,10.6,10.4,9.6,9.4,9.1,8.8,9.2
Spain,9.8,9.7,10,10,10.2,10.4,10,10.1,9.2,8.3,7.9,7.9,7.8,7.2,7.3,7.6,7.4,7.7
France,9.3,9.3,9.2,9.2,9.1,9.1,8.8,8.6,8.5,8.1,8.1,7.7,7.7,7.6,7.1,7.2,7.2,7.2
Croatia,5.8,6.3,6.6,6.9,6.9,7,7.1,7.4,7.2,6.7,6.6,6.6,6.1,5.9,5.7,5.8,5.9,6.2
Italy,9.9,10,10,10.2,10.2,10.2,10,9.8,9.5,8.5,8.7,8.5,8.1,7.5,7.2,7.3,7.3,7.3
Cyprus,13.3,13.3,13.4,13.9,13.8,13.8,13.8,14,13.8,13.1,12.4,11.7,10.9,10,10.6,10.7,11.3,11.6
Latvia,4.5,4.8,4.8,5,5,5.2,5.5,5.7,5.6,5.4,6,5.8,5.8,5.8,5.8,5.9,6,6.1
Lithuania,5.6,5.9,6,6.1,6.4,6.9,7.1,7.9,7.7,6.3,6.7,7.1,7.2,6.8,6.9,7,7.1,7.3
Luxembourg,24.4,25.3,27,27.8,30.7,30.8,29.7,28.2,27.5,25.8,26.5,25.6,24.3,22.7,21.5,20.4,19.9,20
Hungary,7.2,7.5,7.3,7.6,7.6,7.6,7.4,7.3,7.1,6.5,6.6,6.4,6.1,5.8,5.9,6.2,6.3,6.6
Malta,7.9,7.5,7.4,7.9,7.7,7.9,8,8.2,8.2,7.6,7.8,8,8.3,7.5,7.4,5.7,5,5.5
Netherlands,14.4,14.3,14.1,14.1,14.2,13.8,13.5,13.4,13.3,12.8,13.5,12.6,12.3,12.3,11.8,12.2,12.2,12
Austria,10.3,10.7,10.8,11.5,11.4,11.5,11.1,10.8,10.7,9.9,10.4,10.1,9.7,9.7,9.2,9.4,9.4,9.6
Poland,10.4,10.3,10.1,10.4,10.6,10.6,11,11,10.8,10.3,10.9,10.8,10.6,10.6,10.2,10.3,10.6,11
Portugal,8.2,8.1,8.4,7.9,8.2,8.4,7.9,7.7,7.5,7.2,6.8,6.7,6.5,6.4,6.4,6.9,6.7,7.2
Romania,6.4,6.6,6.9,7.1,7.1,7.1,7.2,7.4,7.3,6.4,6.1,6.4,6.3,5.8,5.9,5.9,5.8,5.9
Slovenia,9.6,10.1,10.2,10,10.2,10.3,10.4,10.4,10.7,9.6,9.6,9.6,9.3,8.9,8.1,8.2,8.6,8.5
Slovakia,9.1,9.6,9.3,9.4,9.5,9.5,9.5,9.2,9.3,8.5,8.6,8.5,8,7.9,7.5,7.7,7.8,8
Finland,13.8,14.8,15.2,16.6,15.9,13.6,15.7,15.4,13.8,13,14.4,13,11.9,11.9,11.1,10.4,10.9,10.4
Sweden,7.9,8,8,8,7.9,7.6,7.6,7.3,7.1,6.5,7.1,6.6,6.2,6,5.8,5.7,5.6,5.5
United Kingdom,12.6,12.6,12.2,12.3,12.2,12,11.8,11.5,11.1,10.1,10.2,9.4,9.6,9.3,8.6,8.3,7.9,7.7