country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belgium,4,3.9,3.8,3.5,3.6,3.4,3.8,3.5,3.4,3.3,3.2,3.6
Bulgaria,9.7,9.2,8.6,9,9.4,8.5,7.8,7.3,7.6,6.6,6.5,6.4
Czechia,3.3,3.1,2.8,2.9,2.7,2.7,2.6,2.5,2.4,2.5,2.8,2.7
Denmark,3.5,4,4,3.1,3.4,3.5,3.4,3.5,4,3.7,3.1,3.8
Germany,3.8,3.9,3.5,3.5,3.4,3.6,3.3,3.3,3.2,3.3,3.4,3.3
Estonia,4.4,5,5,3.6,3.3,2.5,3.6,2.1,2.7,2.5,2.3,2.3
Ireland,3.9,3.2,3.4,3.3,3.6,3.5,3.5,3.6,3.3,3.4,3,3
Greece,3.7,3.5,2.7,3.1,3.8,3.4,2.9,3.7,3.7,4,4.2,3.5
Spain,3.5,3.4,3.3,3.2,3.2,3.1,3.1,2.7,2.8,2.7,2.7,2.7
France,3.8,3.8,3.8,3.9,3.6,3.5,3.5,3.6,3.5,3.7,3.7,3.9
Croatia,5.2,5.6,4.5,5.3,4.4,4.7,3.6,4.1,5,4.1,4.3,4
Italy,3.2,3.1,3.1,3.2,3,2.9,2.9,2.9,2.8,2.9,2.8,2.7
Cyprus,3.1,3.7,3.5,3.3,3.2,3.1,3.5,1.6,2.1,2.7,2.6,1.3
Latvia,7.4,8.5,6.6,7.6,5.6,6.6,6.3,4.4,3.8,4.1,3.7,4.1
Lithuania,7.2,6.3,5.5,5.6,5,4.8,3.9,3.7,3.9,4.2,4.5,3
Luxembourg,2.5,1.8,1.8,2.5,3.4,4.3,2.5,3.9,2.8,2.8,3.8,3.2
Hungary,5.7,5.9,5.6,5.1,5.3,4.9,4.9,5,4.5,4.2,3.9,3.5
Malta,3.7,6.6,8.5,5.5,5.6,6.5,5.3,6.7,5,5.8,7.4,6.7
Netherlands,4.4,4.1,3.8,3.8,3.8,3.6,3.7,3.8,3.6,3.3,3.5,3.6
Austria,3.6,3.7,3.7,3.8,3.9,3.6,3.2,3.1,3,3.1,3.1,2.9
Poland,6,6,5.6,5.6,5,4.7,4.6,4.6,4.2,4,4,4
Portugal,3.3,3.4,3.3,3.6,2.5,3.1,3.4,2.9,2.9,2.9,3.2,2.7
Romania,13.9,12,11,10.1,9.8,9.4,9,8.9,8.2,7.5,7,6.7
Slovenia,3.4,2.8,2.4,2.4,2.5,2.9,1.6,2.9,1.8,1.6,2,2.1
Slovakia,6.6,6.1,5.9,5.7,5.7,4.9,5.8,5.5,5.8,5.1,5.4,4.5
Finland,2.8,2.7,2.6,2.6,2.3,2.4,2.4,1.8,2.2,1.7,1.9,2
Sweden,2.8,2.5,2.5,2.5,2.5,2.1,2.6,2.7,2.2,2.5,2.5,2.4
United Kingdom,4.9,4.7,4.6,4.5,4.2,4.2,4,3.9,3.9,3.9,3.8,3.9